Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Brad,2020-07-11 02:51:12,01:55:38,,The Silence of the Lambs,,Vizio MG244 FXCN SX7 CAST Smart TV,01:55:38,01:55:38,US (United States)
Brad,2020-07-11 02:50:24,00:00:23,,The Silence of the Lambs,,Vizio MG244 FXCN SX7 CAST Smart TV,00:00:23,Not latest view,US (United States)
Brad,2020-07-11 02:50:04,00:00:01,,The Silence of the Lambs,,DefaultWidevineAndroidPhone,00:00:01,Not latest view,US (United States)
Brad,2020-07-11 01:50:03,00:00:38,,End of Watch_hook_primary_9x16,HOOK,DefaultWidevineAndroidPhone,00:00:38,00:00:38,US (United States)
Brad,2020-07-11 00:38:45,00:59:12,,The Devil's Advocate,,Vizio MG244 FXCN SX7 CAST Smart TV,02:18:09,02:18:09,US (United States)
Brad,2020-07-11 00:38:22,00:00:01,,The Devil's Advocate,,DefaultWidevineAndroidPhone,01:18:59,Not latest view,US (United States)
Brad,2020-07-10 02:53:10,00:32:43,,The Devil's Advocate,,Vizio MG244 FXCN SX7 CAST Smart TV,01:19:34,Not latest view,US (United States)
Brad,2020-07-10 02:47:20,00:05:43,,Hannibal: Season 3: Contorno (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:35:09,00:35:09,US (United States)
Brad,2020-07-10 02:47:02,00:00:01,,Hannibal: Season 3: Contorno (Episode 5),,DefaultWidevineAndroidPhone,00:29:26,Not latest view,US (United States)
Brad,2020-07-10 01:11:03,00:46:51,,The Devil's Advocate,,Vizio MG244 FXCN SX7 CAST Smart TV,00:46:51,Not latest view,US (United States)
Brad,2020-07-10 01:10:45,00:00:01,,The Devil's Advocate,,DefaultWidevineAndroidPhone,00:00:01,Not latest view,US (United States)
Brad,2020-07-09 21:58:33,00:29:26,,Hannibal: Season 3: Contorno (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:29:26,Not latest view,US (United States)
Brad,2020-07-09 21:58:14,00:00:02,,Hannibal: Season 3: Contorno (Episode 5),,DefaultWidevineAndroidPhone,00:00:02,Not latest view,US (United States)
Brad,2020-07-09 02:33:00,00:43:31,,Abstract: The Art of Design: Season 2: Jonathan Hoefler: Typeface Design (Episode 6),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:31,00:43:31,US (United States)
Brad,2020-07-09 02:32:42,00:00:01,,Abstract: The Art of Design: Season 2: Jonathan Hoefler: Typeface Design (Episode 6),,DefaultWidevineAndroidPhone,00:00:01,Not latest view,US (United States)
