,Start Time,Duration_floating_hours,Year,Month,Hour,Weekday
2909,2020-01-01,2.656388888888889,8080,4,74,Tuesday
2910,2020-01-02,0.0,0,0,0,Wednesday
2911,2020-01-03,0.0,0,0,0,Thursday
2912,2020-01-04,1.9247222222222222,6060,3,66,Friday
2913,2020-01-05,1.531388888888889,6060,3,33,Saturday
2914,2020-01-06,0.0,0,0,0,Sunday
2915,2020-01-07,0.0,0,0,0,Monday
2916,2020-01-08,0.0,0,0,0,Tuesday
2917,2020-01-09,0.0,0,0,0,Wednesday
2918,2020-01-10,0.0,0,0,0,Thursday
2919,2020-01-11,0.0,0,0,0,Friday
2920,2020-01-12,2.1613888888888892,8080,4,43,Saturday
2921,2020-01-13,1.0611111111111111,4040,2,1,Sunday
2922,2020-01-14,0.0,0,0,0,Monday
2923,2020-01-15,0.0,0,0,0,Tuesday
2924,2020-01-16,0.0,0,0,0,Wednesday
2925,2020-01-17,0.0,0,0,0,Thursday
2926,2020-01-18,5.640833333333333,16160,8,37,Friday
2927,2020-01-19,0.0,0,0,0,Saturday
2928,2020-01-20,0.0008333333333333334,2020,1,19,Sunday
2929,2020-01-21,0.1463888888888889,2020,1,23,Monday
2930,2020-01-22,1.0933333333333333,4040,2,2,Tuesday
2931,2020-01-23,0.0,0,0,0,Wednesday
2932,2020-01-24,0.0,0,0,0,Thursday
2933,2020-01-25,2.591666666666667,2020,1,3,Friday
2934,2020-01-26,2.169722222222222,6060,3,63,Saturday
2935,2020-01-27,0.17305555555555555,2020,1,23,Sunday
2936,2020-01-28,1.4841666666666666,4040,2,0,Monday
2937,2020-01-29,0.8325,2020,1,0,Tuesday
2938,2020-01-30,1.6625,4040,2,3,Wednesday
2939,2020-01-31,0.8502777777777778,2020,1,1,Thursday
2940,2020-02-01,0.9197222222222222,4040,4,43,Friday
2941,2020-02-02,1.4022222222222225,8080,8,33,Saturday
2942,2020-02-03,0.0,0,0,0,Sunday
2943,2020-02-04,0.43555555555555553,2020,2,2,Monday
2944,2020-02-05,0.4847222222222222,2020,2,0,Tuesday
2945,2020-02-06,0.4313888888888889,4040,4,2,Wednesday
2946,2020-02-07,0.8308333333333333,2020,2,1,Thursday
2947,2020-02-08,0.0,0,0,0,Friday
2948,2020-02-09,3.3425000000000002,8080,8,33,Saturday
2949,2020-02-10,0.0,0,0,0,Sunday
2950,2020-02-11,0.31805555555555554,2020,2,0,Monday
2951,2020-02-12,0.11222222222222222,2020,2,0,Tuesday
2952,2020-02-13,0.0,0,0,0,Wednesday
2953,2020-02-14,0.0,0,0,0,Thursday
2954,2020-02-15,0.0,0,0,0,Friday
2955,2020-02-16,0.0,0,0,0,Saturday
2956,2020-02-17,0.7102777777777778,4040,4,45,Sunday
2957,2020-02-18,0.0,0,0,0,Monday
2958,2020-02-19,0.41055555555555556,2020,2,0,Tuesday
2959,2020-02-20,0.0,0,0,0,Wednesday
2960,2020-02-21,0.0,0,0,0,Thursday
2961,2020-02-22,3.031388888888889,4040,4,26,Friday
2962,2020-02-23,2.1705555555555556,8080,8,70,Saturday
2963,2020-02-24,2.8808333333333334,8080,8,25,Sunday
2964,2020-02-25,0.06472222222222224,2020,2,23,Monday
2965,2020-02-26,0.715,2020,2,0,Tuesday
2966,2020-02-27,0.8319444444444445,4040,4,0,Wednesday
2967,2020-02-28,0.0,0,0,0,Thursday
2968,2020-02-29,0.0,0,0,0,Friday
2969,2020-03-01,2.151666666666667,10100,15,111,Saturday
2970,2020-03-02,0.7133333333333334,2020,3,0,Sunday
2971,2020-03-03,0.7175,2020,3,0,Monday
2972,2020-03-04,1.3930555555555557,4040,6,23,Tuesday
2973,2020-03-05,0.6933333333333334,2020,3,0,Wednesday
2974,2020-03-06,0.7338888888888889,2020,3,1,Thursday
2975,2020-03-07,0.0,0,0,0,Friday
2976,2020-03-08,1.2727777777777778,8080,12,47,Saturday
2977,2020-03-09,1.4330555555555557,4040,6,45,Sunday
2978,2020-03-10,0.9897222222222222,8080,12,69,Monday
2979,2020-03-11,2.346111111111111,12120,18,111,Tuesday
2980,2020-03-12,1.9011111111111112,6060,9,45,Wednesday
2981,2020-03-13,0.7116666666666667,2020,3,0,Thursday
2982,2020-03-14,4.449166666666667,14140,21,135,Friday
2983,2020-03-15,2.145833333333333,12120,18,16,Saturday
2984,2020-03-16,0.3438888888888889,4040,6,42,Sunday
2985,2020-03-17,0.0,0,0,0,Monday
2986,2020-03-18,0.0,0,0,0,Tuesday
2987,2020-03-19,0.0,0,0,0,Wednesday
2988,2020-03-20,1.041388888888889,4040,6,42,Thursday
2989,2020-03-21,0.0,0,0,0,Friday
2990,2020-03-22,1.4163888888888887,4040,6,24,Saturday
2991,2020-03-23,0.10861111111111112,2020,3,22,Sunday
2992,2020-03-24,0.23305555555555557,4040,6,22,Monday
2993,2020-03-25,2.0277777777777777,6060,9,66,Tuesday
2994,2020-03-26,0.0,0,0,0,Wednesday
